Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-10-22,20.68,20.93,20.55,20.72,161100.0,0.0,1.0,20.68,20.93,20.55,20.72,161100.0
2010-10-25,20.94,20.98,20.73,20.85,118500.0,0.0,1.0,20.94,20.98,20.73,20.85,118500.0
2010-10-26,20.8,21.87,20.51,21.36,660900.0,0.0,1.0,20.8,21.87,20.51,21.36,660900.0
2010-10-27,21.25,21.38,20.65,21.0,356500.0,0.0,1.0,21.25,21.38,20.65,21.0,356500.0
2010-10-28,21.39,21.5,20.96,21.19,224200.0,0.0,1.0,21.39,21.5,20.96,21.19,224200.0
2010-10-29,21.14,21.85,21.052,21.84,280600.0,0.0,1.0,21.14,21.85,21.052,21.84,280600.0
2010-11-01,21.94,22.75,21.31,21.41,455800.0,0.0,1.0,21.94,22.75,21.31,21.41,455800.0
2010-11-02,21.68,21.8792,21.05,21.25,322500.0,0.0,1.0,21.68,21.8792,21.05,21.25,322500.0
2010-11-03,21.28,22.5,21.16,21.77,372600.0,0.0,1.0,21.28,22.5,21.16,21.77,372600.0
2010-11-04,22.6,25.33,22.151,24.9,1874000.0,0.0,1.0,22.6,25.33,22.151,24.9,1874000.0
2010-11-05,24.87,24.97,23.72,24.44,1011000.0,0.0,1.0,24.87,24.97,23.72,24.44,1011000.0
2010-11-08,24.5,25.0,24.03,24.98,509500.0,0.0,1.0,24.5,25.0,24.03,24.98,509500.0
2010-11-09,25.0,25.69,24.0501,24.63,956400.0,0.0,1.0,25.0,25.69,24.0501,24.63,956400.0
2010-11-10,24.48,29.97,24.05,29.36,3060500.0,0.0,1.0,24.48,29.97,24.05,29.36,3060500.0
2010-11-11,28.6,29.1,27.33,28.035,1945300.0,0.0,1.0,28.6,29.1,27.33,28.035,1945300.0
2010-11-12,28.25,30.5,28.07,29.84,2729100.0,0.0,1.0,28.25,30.5,28.07,29.84,2729100.0
2010-11-15,30.22,32.9395,30.22,30.8,2622900.0,0.0,1.0,30.22,32.9395,30.22,30.8,2622900.0
2010-11-16,31.0,31.4,28.42,29.67,1347600.0,0.0,1.0,31.0,31.4,28.42,29.67,1347600.0
2010-11-17,30.2,30.75,28.61,29.49,750000.0,0.0,1.0,30.2,30.75,28.61,29.49,750000.0
2010-11-18,30.67,30.74,28.9201,29.89,956100.0,0.0,1.0,30.67,30.74,28.9201,29.89,956100.0
2010-11-19,30.16,31.37,29.7,30.99,1150500.0,0.0,1.0,30.16,31.37,29.7,30.99,1150500.0
2010-11-22,31.57,33.45,31.5,33.4,1529700.0,0.0,1.0,31.57,33.45,31.5,33.4,1529700.0
2010-11-23,33.29,35.68,32.1901,34.57,1577800.0,0.0,1.0,33.29,35.68,32.1901,34.57,1577800.0
2010-11-24,35.27,35.97,34.334,35.47,1425000.0,0.0,1.0,35.27,35.97,34.334,35.47,1425000.0
2010-11-26,35.6,36.0,34.75,35.32,350600.0,0.0,1.0,35.6,36.0,34.75,35.32,350600.0
2010-11-29,35.4122,35.95,33.33,34.33,1145600.0,0.0,1.0,35.4122,35.95,33.33,34.33,1145600.0
2010-11-30,33.74,35.33,33.41,35.33,2222600.0,0.0,1.0,33.74,35.33,33.41,35.33,2222600.0
2010-12-01,35.87,36.42,33.45,34.35,1299200.0,0.0,1.0,35.87,36.42,33.45,34.35,1299200.0
2010-12-02,34.01,34.2975,31.2,32.35,2007000.0,0.0,1.0,34.01,34.2975,31.2,32.35,2007000.0
2010-12-03,32.01,32.25,30.87,31.49,1160100.0,0.0,1.0,32.01,32.25,30.87,31.49,1160100.0
2010-12-06,31.35,31.45,29.56,30.31,1274400.0,0.0,1.0,31.35,31.45,29.56,30.31,1274400.0
